Source,Target,Weight,Type
SMDDL,AVER,1,chemical
SMDDL,SIADL,14,chemical
SMDDL,SMDVR,17,chemical
SMDDL,RIML,2,chemical
SMDDL,URYDL,1,chemical
SMDDL,RMDR,1,chemical
SMDDL,RIMR,1,chemical
SMDDL,SAAVR,1,chemical
SMDDL,RIS,2,chemical
SMDDL,SIBDL,14,chemical
SMDDL,SMDVL,2,chemical
SMDDL,RIAL,9,chemical
SMDDL,SMDDR,1,chemical
SMDDL,RIVR,1,chemical
SMDDL,SMBDL,3,chemical
SMDDL,AVEL,1,chemical
SMDDL,RIAR,14,chemical
SMDDL,RMDL,3,chemical
AVER,SABVL,12,chemical
AVER,CEPDL,1,chemical
AVER,VA02,4,chemical
AVER,AVDR,4,chemical
AVER,AIZR,1,chemical
AVER,SABVR,11,chemical
AVER,DA02,7,chemical
AVER,DB03,1,chemical
AVER,RIMR,1,chemical
AVER,DA01,11,chemical
AVER,AVAL,14,chemical
AVER,VA01,5,chemical
AVER,OLLL,1,chemical
AVER,VA03,1,chemical
AVER,URXR,1,chemical
AVER,AS03,1,chemical
AVER,AS01,6,chemical
AVER,RMGR,1,chemical
AVER,AVEL,3,chemical
AVER,AVAR,33,chemical
AVER,VA04,2,chemical
AVER,AVDL,4,chemical
AVER,AS02,4,chemical
AVER,DA03,3,chemical
AVER,SABD,1,chemical
AIBL,AIBL,2,chemical
AIBL,RIFL,1,chemical
AIBL,SIAVR,2,chemical
AIBL,SMDVR,4,chemical
AIBL,RIML,1,chemical
AIBL,SAAVL,3,chemical
AIBL,RIGR,5,chemical
AIBL,AIZR,7,chemical
AIBL,RIMR,56,chemical
AIBL,SAADL,6,chemical
AIBL,SAAVR,1,chemical
AIBL,AVAL,5,chemical
AIBL,ASHL,1,chemical
AIBL,ASHR,3,chemical
AIBL,FLPL,1,chemical
AIBL,SIADR,2,chemical
AIBL,SMDDR,16,chemical
AIBL,AVBL,21,chemical
AIBL,SIBVR,2,chemical
AIBL,RIBR,16,chemical
AIBL,AVEL,1,chemical
AIBL,RMFR,6,chemical
AIBL,SAADR,10,chemical
VC05,VC05,6,chemical
VC05,VC04,4,chemical
VC05,AVFL,2,chemical
VC05,PVR,1,chemical
VC05,AVFR,1,chemical
VC05,DVC,3,chemical
VC05,HSNL,1,chemical
VC05,HSNR,3,chemical
VC05,PVT,1,chemical
RMED,SMDDL,1,chemical
RMED,RMED,1,chemical
RMED,RIBL,1,chemical
RMED,SMDDR,4,chemical
RMED,RIBR,1,chemical
SABVL,RIGR,1,chemical
URBL,URBL,1,chemical
URBL,CEPDL,2,chemical
URBL,SMBDR,3,chemical
URBL,URYDL,1,chemical
URBL,RMDDR,2,chemical
URBL,PVR,1,chemical
URBL,SIAVL,2,chemical
URBL,ADAL,3,chemical
URBL,IL1L,10,chemical
URBL,RICL,1,chemical
URBL,URXL,26,chemical
URBL,SIADR,2,chemical
URBL,OLLL,1,chemical
URBL,AVBL,1,chemical
URBL,RMHR,5,chemical
URBL,RICR,1,chemical
URADR,RMER,1,chemical
URADR,RIPR,16,chemical
URADR,URYDR,1,chemical
URADR,IL1DR,3,chemical
DD06,DB07,1,chemical
DD06,VD13,3,chemical
DA09,DD06,4,chemical
DA09,VD11,11,chemical
DA09,DA08,1,chemical
DA09,DVA,1,chemical
DA09,VA11,1,chemical
DA09,VA12,1,chemical
DA09,AS11,1,chemical
DA09,VD09,5,chemical
DA09,VD12,11,chemical
DA09,DB07,2,chemical
DA09,VD13,4,chemical
DA09,VD10,5,chemical
VC01,DD03,8,chemical
VC01,AVFL,1,chemical
VC01,VC02,4,chemical
VC01,VD02,1,chemical
VC01,AVL,2,chemical
VC01,VD03,2,chemical
VC01,VD05,4,chemical
VC01,DD02,8,chemical
VC01,DVC,1,chemical
VC01,VD04,4,chemical
VC01,PVPR,1,chemical
VC01,VD01,5,chemical
VC01,DD01,6,chemical
VC01,VC03,2,chemical
VC01,PVT,4,chemical
VC01,VD06,1,chemical
SIADL,SMDDL,17,chemical
SIADL,SIBDL,4,chemical
SIADL,AVFR,1,chemical
SIADL,ALNR,4,chemical
SIADL,SMBDL,18,chemical
SIADL,SDQR,4,chemical
SIADL,RMDL,4,chemical
PVQR,DD06,2,chemical
PVQR,ASJL,1,chemical
PVQR,VC02,1,chemical
PVQR,RIFR,4,chemical
PVQR,AIMR,2,chemical
PVQR,AVL,2,chemical
PVQR,AVBR,1,chemical
PVQR,AVFR,1,chemical
PVQR,DVC,1,chemical
PVQR,ASKR,6,chemical
PVQR,AIAL,1,chemical
PVQR,AIAR,12,chemical
PVQR,VD01,1,chemical
PVQR,DD01,1,chemical
PVQR,AWAR,4,chemical
PVQR,RMGR,1,chemical
PVQR,PVT,1,chemical
PVQR,ASER,2,chemical
VC04,VC05,2,chemical
VC04,AVBR,1,chemical
VC04,AVHR,1,chemical
VC04,VC03,1,chemical
RIFL,AVJR,8,chemical
RIFL,RIML,7,chemical
RIFL,ALML,5,chemical
RIFL,AVBR,1,chemical
RIFL,AVHR,1,chemical
RIFL,AVBL,26,chemical
RIFL,PVPL,8,chemical
PDA,DD06,3,chemical
PDA,DA09,1,chemical
PDA,VD11,10,chemical
PDA,PVNR,1,chemical
PDA,VD12,12,chemical
PDA,VD13,3,chemical
AWCL,AIBL,12,chemical
AWCL,AFDL,2,chemical
AWCL,AVAL,1,chemical
AWCL,AIBR,2,chemical
AWCL,SMDVL,1,chemical
AWCL,RIAL,6,chemical
AWCL,AWCR,11,chemical
AWCL,ASGR,1,chemical
AWCL,AIZL,1,chemical
AWCL,ASIL,1,chemical
AWCL,AIAL,2,chemical
AWCL,AIAR,4,chemical
AWCL,AIYL,22,chemical
AWCL,ASER,1,chemical
LUAL,PVWL,1,chemical
LUAL,AVJR,1,chemical
LUAL,AVDR,6,chemical
LUAL,AVJL,4,chemical
LUAL,AVAL,27,chemical
LUAL,PHBL,2,chemical
LUAL,PVNL,1,chemical
LUAL,AVAR,23,chemical
LUAL,AVDL,27,chemical
CEPDL,AVER,13,chemical
CEPDL,URBL,11,chemical
CEPDL,AFDL,2,chemical
CEPDL,CEPDR,1,chemical
CEPDL,SMBDR,5,chemical
CEPDL,URYDL,7,chemical
CEPDL,RIBL,3,chemical
CEPDL,RIH,1,chemical
CEPDL,ALML,2,chemical
CEPDL,RIS,3,chemical
CEPDL,RMHL,1,chemical
CEPDL,AINL,2,chemical
CEPDL,IL2DL,1,chemical
CEPDL,RMGL,6,chemical
CEPDL,OLQDL,27,chemical
CEPDL,RICL,11,chemical
CEPDL,RMDVL,13,chemical
CEPDL,SIADR,4,chemical
CEPDL,OLLL,8,chemical
CEPDL,RMDDL,2,chemical
CEPDL,IL1DL,18,chemical
CEPDL,RIPL,8,chemical
CEPDL,URADL,8,chemical
CEPDL,RMHR,8,chemical
CEPDL,SIBDR,2,chemical
CEPDL,RICR,8,chemical
AFDL,AIBL,1,chemical
AFDL,AFDL,1,chemical
AFDL,AINR,3,chemical
AFDL,AWBL,4,chemical
AFDL,ASEL,1,chemical
AFDL,AIYL,25,chemical
AFDL,ASER,1,chemical
PVWL,AVJL,1,chemical
PVWL,PVCL,1,chemical
PVWL,VD12,1,chemical
PVWL,PVWR,1,chemical
PVWL,PVCR,1,chemical
PVWL,PVT,1,chemical
VA09,DD06,6,chemical
VA09,VD11,3,chemical
VA09,DD05,6,chemical
VA09,DD04,6,chemical
VA09,VD09,2,chemical
VA09,AS06,5,chemical
VA09,AS07,3,chemical
VA09,VB08,1,chemical
VA09,VD10,3,chemical
VA09,VB07,1,chemical
AVJR,AVER,3,chemical
AVJR,SABVL,3,chemical
AVJR,PVQR,1,chemical
AVJR,AVDR,7,chemical
AVJR,AVJL,1,chemical
AVJR,ALML,3,chemical
AVJR,PVCL,5,chemical
AVJR,AVBR,2,chemical
AVJR,AVAL,4,chemical
AVJR,FLPR,2,chemical
AVJR,AVM,1,chemical
AVJR,AVFR,1,chemical
AVJR,AVBL,10,chemical
AVJR,RID,2,chemical
AVJR,AVAR,5,chemical
AVJR,PVCR,7,chemical
AVJR,AVDL,1,chemical
SIAVR,PLNR,10,chemical
SIAVR,SIBVL,2,chemical
SIAVR,RMDL,1,chemical
VA07,DD03,3,chemical
VA07,DD04,17,chemical
VA07,VD07,13,chemical
VA07,AS03,3,chemical
VA07,AS01,1,chemical
VA07,VB06,1,chemical
VA07,AS02,10,chemical
VA07,VD06,2,chemical
DD03,DA05,1,chemical
