Source,Target,weight
ASIL,AWAL,1
ASIL,ASGL,1
ASIL,AFDL,1
ASIL,AWCL,1
ASIL,AIML,1
ASIL,AIAL,1
ASIL,AIBL,1
ASIR,ASGR,1
ASIR,AFDR,1
ASIR,AWCR,1
ASIR,ASKR,1
ASIR,AIAR,1
ASJL,ASKL,1
ASJL,OLQDL,1
ASJL,PVQL,1
ASJL,URADL,1
ASJR,ASKR,1
ASJR,AIMR,1
ASJR,PVQR,1
ASJR,RIFR,1
ASJR,RMGR,1
ASJR,AVBL,1
AWAL,AWBL,1
AWAL,ASEL,1
AWAL,ADFL,1
AWAL,AFDL,1
AWAL,AIYL,1
AWAL,AUAL,1
AWAL,AIZL,1
AWAL,RIBL,1
AWAR,AWBR,1
AWAR,ADFR,1
AWAR,AFDR,1
AWAR,ADLR,1
AWAR,AIYR,1
AWAR,AIZR,1
ASGL,ASEL,1
ASGL,ADLL,1
ASGL,AIML,1
ASGL,AIAL,1
ASGL,AIZL,1
ASGL,RICL,1
ASGR,ADFR,1
ASGR,ADLR,1
ASGR,AIMR,1
ASGR,AIAR,1
ASGR,AIBR,1
AWBL,ADFL,1
AWBL,AIYL,1
AWBL,AIZL,1
AWBL,AVHL,1
AWBL,RIBL,1
AWBL,RIAL,1
AWBL,SMBVL,1
AWBR,ADFR,1
AWBR,AIYR,1
AWBR,AIZR,1
AWBR,AVHR,1
AWBR,RIBR,1
AWBR,RIAR,1
ASEL,AWCL,1
ASEL,ASKL,1
ASEL,AIYL,1
ASEL,RIBL,1
ASEL,AIBL,1
ASER,AFDR,1
ASER,ADLR,1
ASER,BAGL,1
ASER,AIYR,1
ASER,AIAR,1
ASER,AIZR,1
ASER,AIBR,1
ADFL,ASHL,1
ADFL,OLQVL,1
ADFL,AUAL,1
ADFL,AIZL,1
ADFL,ADAL,1
ADFL,AVHL,1
ADFL,RIBL,1
ADFL,RIGL,1
ADFL,RIAL,1
ADFL,SMBVL,1
ADFR,AFDR,1
ADFR,RIR,1
ADFR,AIYR,1
ADFR,AUAR,1
ADFR,AIZR,1
ADFR,AVHR,1
ADFR,RIAR,1
ADFR,RIPR,1
ADFR,SMBDR,1
ADFR,SMBVR,1
AFDL,AINR,1
AFDL,AIYL,1
AFDR,BAGL,1
AFDR,AINL,1
AFDR,AIYR,1
AFDR,AUAR,1
AWCL,ASKL,1
AWCL,AIYL,1
AWCL,AIAL,1
AWCL,AIBL,1
AWCL,CEMVL,1
AWCR,CEPVR,1
AWCR,AIYR,1
AWCR,AIBR,1
AWCR,CEMVR,1
ASKL,ASHL,1
ASKL,ADLL,1
ASKL,AINR,1
ASKL,AIML,1
ASKL,AIAL,1
ASKL,PVQL,1
ASKL,AIBL,1
ASKR,ASHR,1
ASKR,AIMR,1
ASKR,AIAR,1
ASKR,PVQR,1
ASKR,RIFR,1
ASHL,ADLL,1
ASHL,AIAL,1
ASHL,PVQL,1
ASHL,RIFL,1
ASHL,AVFL,1
ASHL,AIBL,1
ASHL,AVDR,1
ASHL,RIAL,1
ASHL,AVBL,1
ASHL,SMBVL,1
ASHR,ADLR,1
ASHR,AIAR,1
ASHR,PVQR,1
ASHR,AVHR,1
ASHR,AIBR,1
ASHR,AVDL,1
ASHR,AVBR,1
ADLL,CEPDL,1
ADLL,PVQL,1
ADLL,AVFL,1
ADLL,AVHL,1
ADLL,PVPL,1
ADLL,AIBL,1
ADLL,AVJL,1
ADLL,AVDR,1
ADLL,SMBVL,1
ADLR,AIAR,1
ADLR,AIZR,1
