,I1L,I1R,I2L,I2R,I03,I04,I05,I06,M01,M2L,M2R,M3L,M3R,M04,M05,MCL,MCR,MI,NSML,NSMR
I1L,,,10,,3,,2,1,,3,,8,2,,,2,2,2,3,
I1R,,,,6,1,,2,,1,1,3,1,6,,,3,4,1,1,2
I2L,2,,,3,,13,2,2,1,,,,3,4,,,,,14,24
I2R,,1,3,,,20,2,3,3,,2,,2,3,,1,,,34,7
I03,1,1,,,,,2,1,2,2,,2,2,2,,1,2,1,,2
I04,,,,7,,,2,,,5,,6,22,,,,,1,8,15
I05,2,,3,1,1,7,,,3,4,,4,2,19,2,,,4,1,5
I06,,1,1,4,12,,,,,,,10,,15,,,,,24,23
M01,,1,3,2,8,1,2,,,,,,,1,1,,,6,2,
M2L,,,,,2,8,2,,,,,3,1,,,,,,,
M2R,,,,,,1,3,,,,,2,1,,,,,,,1
M3L,,,,,,,,,,,,,,,,,,,1,
M3R,,,,,,,,,,,,,,2,,,,,,
M04,,,,,,5,1,,,1,,1,,15,,1,,,,
M05,,,,,,,1,,1,,,,,,,,,,,
MCL,,,,,,,,,,,,,,,,,,,,
MCR,,,,,,,,,,,,,,,,,,,,
MI,1,,,,2,1,,,7,3,2,2,2,,,3,,,1,2
NSML,,,,,,1,,1,,,,21,1,13,,,,,,7
NSMR,,,1,1,,3,,4,,,,,24,,,,,,,
