Source,Target,weight
AIYR,AWCR,1772160
AIYR,AWCL,3111120
AIYR,RIH,460080
AIYR,FLPR,110640
AIYR,AWBR,712800
AIYR,AVBR,139680
AIYR,FLPL,13680
AIYR,AVJL,516480
AIYR,IL2R,4320
AIYR,PVQR,88800
AIYR,URXR,266640
AIYR,ASEL,1646640
AIYR,ASGR,53760
AIYR,RIMR,139680
AIYR,PVCL,50880
AIYR,AIYL,320880
AIYR,AIAR,719280
AIYR,RIR,487680
AIYR,RIML,10320
AIYR,AUAR,4456560
AIYR,AINR,650640
AIYR,AINL,1292400
AIYR,AVBL,2160
AIYR,SIBDR,334800
AIYR,RIBR,4236720
AIYR,SMBDR,248880
AIYR,RIVR,71760
AIYR,AVEL,175680
AIYR,RIFR,149040
AIYR,AIMR,494880
AIYR,ASER,6569520
AIYR,BAGR,484560
AIYR,AFDL,27360
AIYR,BDUR,18000
AIYR,AFDR,7715760
AIYR,BAGL,2652960
AIYR,AIBR,1764480
AIYR,PVCR,21360
AIYR,AVKR,831120
AIYR,ADFR,428160
AIYR,AWAR,2278560
AIYR,ADER,57600
AIYR,AVM,83040
AIYR,RIS,1972080
AIYR,SMBVR,300480
AIYR,AIZL,5760
AIYR,ASIR,1058640
AIYR,AIZR,5467200
AIYR,RIAR,2449680
AIYR,AQR,86640
AIYR,SIAVR,204960
AIYR,ASHR,148080
HSNL,CEPVR,10080
HSNL,ADLL,842400
HSNL,HSNR,4126800
HSNL,ASKR,1236240
HSNL,AWCR,6000
HSNL,AVAL,117360
HSNL,ASKL,2470080
HSNL,RID,234720
HSNL,URBL,10080
HSNL,AVJR,389520
HSNL,AWBR,1356960
HSNL,AVBR,1004400
HSNL,AVJL,114000
HSNL,PVQL,3927360
HSNL,ASJL,1444800
HSNL,ALMR,508320
HSNL,ASJR,623520
HSNL,PVQR,1020240
HSNL,URXR,422880
HSNL,SMDVR,417600
HSNL,ASEL,493200
HSNL,ALA,21360
HSNL,BDUL,499440
HSNL,ADAR,73680
HSNL,AWBL,412560
HSNL,SMDDR,480
HSNL,ADAL,402240
HSNL,RMGR,860640
HSNL,AIAR,1074720
HSNL,AIAL,573120
HSNL,RIML,1680
HSNL,PVNR,551040
HSNL,AVHL,114240
HSNL,AVHR,184560
HSNL,AVBL,312720
HSNL,PVNL,1124400
HSNL,SIBDR,7680
HSNL,OLLL,5280
HSNL,DVA,230640
HSNL,RIFR,1116240
HSNL,AIMR,901920
HSNL,AIML,103920
HSNL,RIFL,1372560
HSNL,ASER,720
HSNL,AVFL,7107600
HSNL,SDQR,39840
HSNL,RMGL,755040
HSNL,BDUR,184800
HSNL,AVFR,7946880
HSNL,AIBR,145680
HSNL,AVKR,3840
HSNL,ADFR,83040
HSNL,AIBL,34560
HSNL,AWAR,878400
HSNL,ADER,128160
HSNL,AVAR,797520
HSNL,SMBVR,214080
HSNL,ADEL,449280
HSNL,AWAL,1409040
HSNL,SIBVR,177600
HSNL,SMBVL,18720
HSNL,AIZR,20400
HSNL,ASHL,2484480
HSNL,SIAVL,333360
HSNL,AVDR,53040
HSNL,AVDL,44160
HSNL,ASHR,3091680
IL1DL,ADLL,61440
IL1DL,AWCR,61440
IL1DL,BWM-DL03,264000
IL1DL,BWM-DL02,484800
IL1DL,BWM-DL01,744480
IL1DL,AWCL,85680
IL1DL,RIH,234960
IL1DL,ASKL,14880
